Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
7560453867,AN921T,NJ,PAS,02/07/2015,84,DELV,PETER,T,10810,34110,34130,,0010,10,10,356521,T102,A,0847A,,NY,F,158,8th Ave,,01/05/0001 12:00:00 PM,408,k7,,,,,WHITE,,0,,0,A 17,84-Platform lifts in low posit,,,
8030010837,94866JA,NY,COM,04/29/2015,42,DELV,INTER,T,17570,10410,25390,,0014,14,14,359330,T102,J,0412P,,NY,F,10,E 29th St,,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0800A,0700P,BROWN,,2001,445-6678,0,09 6,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
8002993251,77936JY,NY,COM,10/06/2014,13,VAN,WORKH,T,45440,32910,28870,,0001,1,1,351929,T105,C,0908A,,NY,F,46,William St,,01/05/0001 12:00:00 PM,408,c2,,YYYYYYY,,,BROWN,,2008,,0,001,13-No Stand (taxi stand),,,
8014184210,T651285C,NY,OMT,03/24/2015,38,4DSD,TOYOT,T,73220,0,0,,0084,84,84,361328,T301,H,0307P,,K,I,S,Remsen St,15ft W/of Court St,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BK,,2014,,0,01 3,38-Failure to Display Muni Rec,,,
7463033090,GRD6305,NY,OMS,08/16/2014,40,4DSD,NISSA,T,24090,0,0,,113,113,113,356248,T402,L,0752A,,Q,I,W,161st St,65ft S/of 134th Ave,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BK,,2014,,0,M 42,40-Fire Hydrant,,,
7025381809,FSW5604,NY,PAS,05/21/2015,71,SUBN,NISSA,T,74380,64520,53620,,0046,46,46,346132,T201,S,0636A,,BX,F,115,W 172nd St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BK,,2007,,0,O 21,71A-Insp Sticker Expired (NYS),,,
7982768570,75127JX,NY,COM,04/15/2015,69,VAN,CHEVR,T,34930,10810,10910,,0020,20,20,358590,T103,R,0259P,,NY,F,350,W 58th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,0700P,WHITE,,2007,,0,41 7,69-Failure to Disp Muni Recpt,,,
7069430346,GMZ8407,NY,PAS,11/11/2014,37,VAN,MERCU,T,13610,35090,35110,,0020,20,20,358927,T103,N,1227P,1213P,NY,F,1965,Broadway,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,1000P,WH,,2002,108-7110,0,28 7,37-Expired Muni Meter,,,
8045350957,GRP7934,NY,PAS,05/07/2015,21,SUBN,HONDA,T,51090,16590,45590,,102,102,102,358656,T402,M,0808A,,Q,F,8027,Jamaica Ave,,01/05/0001 12:00:00 PM,408,d1,,Y,0800A,0830A,BK,,2012,,0,H 42,21-No Parking (street clean),,,
7445114452,GLB5111,NY,PAS,01/21/2015,21,4DSD,HONDA,T,22240,50190,16810,,107,107,107,352969,T402,G,1047A,,Q,O,82-46,135th St,,01/05/0001 12:00:00 PM,408,d1,,Y,1030A,1200A,RD,,2013,,0,01 4,21-No Parking (street clean),,,
7445114452,GLB5111,NY,PAS,01/21/2015,21,4DSD,HONDA,T,22240,50190,16810,,107,107,107,352969,T402,G,1047A,,Q,O,82-46,135th St,,01/05/0001 12:00:00 PM,408,d1,,Y,1030A,1200A,RD,,2013,,0,01 4,21-No Parking (street clean),,,
7983966945,FBA7436,NY,PAS,07/15/2014,38,SUBN,CHEVR,T,10210,18730,18750,,0019,19,19,358246,T103,N,0109P,,NY,F,1562,3rd Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,BL,,2010,,0,09 7,38-Failure to Display Muni Rec,,,
8003077400,XA365T,NJ,PAS,10/17/2014,39,VAN,FORD,T,34990,14510,13610,,0020,20,20,356261,T103,E,1058A,0916A,NY,F,1,W 61st St,,01/05/0001 12:00:00 PM,408,d,,Y,0900A,0700P,RED,,0,,0,36 7,39-Overtime PKG-Time Limt Post,,,
7005001540,1373675,IL,PAS,10/22/2014,21,PICK,FORD,T,10840,9840,61090,,108,108,108,351251,T401,L,0815A,,Q,F,43-12,50th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0800A,0830A,GREY,,0,,0,M 41,21-No Parking (street clean),,,
7099977398,23459MD,NY,COM,07/12/2014,71,DELV,GMC,T,66390,35780,8440,,114,114,114,357369,T401,X,1148A,,Q,O,33-43,Vernon Blvd,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2004,,0,29 4,71A-Insp Sticker Expired (NYS),,,
7331565631,GPR1134,NY,PAS,07/01/2014,20,4DSD,TOYOT,T,28380,77150,10620,,0047,47,47,355598,T202,O,0717A,,BX,F,732,E 225th St,,01/05/0001 12:00:00 PM,408,d,,YYYYYYY,0700A,0700P,BL,,1996,,0,B 22,20A-No Parking (Non-COM),,,
7933803039,41666JM,NY,COM,08/22/2014,14,VAN,CHEVR,T,17150,0,0,,0006,6,6,361292,T101,F,0553P,,NY,I,N,E 8th St,50ft E/of Broadway,01/05/0001 12:00:00 PM,408,c,,YYYYY,0800A,0600P,WHITE,,1993,,0,59 1,14-No Standing,,,
7006270121,GBC7778,NY,PAS,11/17/2014,37,PICK,CHEVR,T,42490,8940,9090,,114,114,114,361028,T401,H,0452P,0407P,Q,F,37-24,Ditmars Blvd,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,GREY,,2011,418-1689,0,35 4,37-Expired Muni Meter,,,
7809040558,18834MC,NY,COM,02/23/2015,38,VAN,FORD,T,24290,32685,23190,,0001,1,1,355551,T105,J,0921A,,NY,F,68,King St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WH,,2001,,0,130,38-Failure to Display Muni Rec,,,
8006792550,14580MG,NY,COM,04/24/2015,46,VAN,CHEVR,T,15520,52220,12550,,0049,49,49,361099,T202,B,0904A,0859A,BX,O,1836,Bronxdale Ave,,01/05/0001 12:00:00 PM,408,F1,,,,,WH,,1993,,0,08A,46B-Double Parking (Com-100Ft),,,
7114367594,DBG2182,NY,PAS,06/18/2015,70,4DSD,BMW,T,35170,14510,15710,,0020,20,20,357722,T103,E,0928A,,NY,F,64,W 70th St,,01/05/0001 12:00:00 PM,408,j3,,YYYYYYY,,,GY,,2006,,0,36 7,70A-Reg. Sticker Expired (NYS),,,
7756727848,DZZ9530,NY,PAS,06/26/2015,37,SUBN,JEEP,T,51090,26540,65830,,105,105,105,361378,T402,C,1258P,1237P,Q,F,214-47,Jamaica Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,BK,,2008,430-3026,0,15 4,37-Expired Muni Meter,,,
7451183087,ETX8485,NY,PAS,11/26/2014,71,4DSD,ACURA,T,29750,40404,40404,,111,111,111,358123,T803,B,0927P,,Q,I,,Bayside Lot,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BK,,2008,,0,L 42,71A-Insp Sticker Expired (NYS),,,
7103414233,12103PC,NY,COM,08/29/2014,84,TRAC,INTER,T,64290,7790,7990,,114,114,114,358178,T401,A,1041A,,Q,F,30-10,Steinway St,,01/05/0001 12:00:00 PM,408,k7,,,,,YELLO,,2011,,0,24 4,84-Platform lifts in low posit,,,
8021712867,6PXT716,CA,PAS,03/12/2015,21,SUBN,SUBAR,T,19530,0,0,,0090,90,90,355121,T301,B,0838A,,K,I,S,Berry St,5ft W/of Broadway,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0830A,1000A,OTHER,,0,,0,14 3,21-No Parking (street clean),,,
1377567369,GMZ2590,NY,PAS,11/07/2014,20,SDN,DODGE,P,36090,10610,10810,,0028,28,28,925412,0028,0000,0836P,,NY,F,229,W 116TH STREET,,01/05/0001 12:00:00 PM,408,J6,,BBBBBBB,ALL,ALL,BLACK,0,2007,-,0,,,,,
7335948952,95038MC,NY,COM,02/11/2015,37,PICK,CHEVR,T,10110,18570,18590,,0019,19,19,361127,T103,S,0108P,0102P,NY,F,1534,2nd Ave,,,408,h1,,Y,0830A,0700P,WHITE,,2006,126-4951,0,01 7,37-Expired Muni Meter,,,
8012984490,ELC5763,NY,PAS,03/17/2015,38,4DSD,VOLKS,T,9520,21720,27240,,0040,40,40,361787,T201,P,0101P,,BX,F,2311,Arthur Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,GY,,2014,,0,34 2,38-Failure to Display Muni Rec,,,
8013393630,T621666C,NY,OMT,02/08/2015,40,4DSD,TOYOT,T,34720,50220,71120,,0049,49,49,355598,T202,O,0507A,,BX,F,1669,Garfield St,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,WH,,2012,,0,B 22,40-Fire Hydrant,,,
8024722847,6NXX753,CA,PAS,06/30/2015,40,4DSD,VOLKS,T,7400,28020,6940,,114,114,114,361087,T401,E,0933A,,Q,F,22-60,26th St,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,SILVE,,0,,4,35-A,40-Fire Hydrant,,,
7795870855,W126AD,FL,PAS,03/26/2015,21,4DSD,SUZUK,T,46970,0,0,,0061,61,61,331331,T302,Q,1221P,,K,I,N,Hampton Ave,40ft E/of West End A,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,0200P,GREY,,0,,0,N 32,21-No Parking (street clean),,,
8002745358,GLP9360,NY,PAS,03/06/2015,71,4DSD,MITSU,T,44930,23230,31950,,0090,90,90,358633,T301,D,0101P,,K,O,12,Graham Ave,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,RD,,2009,,0,15 3,71A-Insp Sticker Expired (NYS),,,
7636264596,XAWW54,NJ,PAS,07/03/2014,78,VAN,CHEVR,T,81430,86030,75430,,0077,77,77,354144,T802,B,1106P,,K,F,1298,Sterling Pl,,01/05/0001 12:00:00 PM,408,k6,,YYYYYYY,0900P,0500A,WHITE,,0,,0,CC2,78-Nighttime PKG on Res Street,,,
7094394482,GD38LE,NJ,PAS,10/15/2014,20,4DSD,INFIN,T,53830,77230,27530,,0084,84,84,349496,T301,A,0927A,,K,F,150,Joralemon St,,01/05/0001 12:00:00 PM,408,d,,YYYYYYY,,,OTHER,,0,,0,01 3,20A-No Parking (Non-COM),,,
7178746142,31775JV,NY,COM,01/08/2015,38,PICK,FORD,T,13810,27590,11610,,0007,7,7,361274,T101,E,0526P,,NY,F,264,Broome St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WHITE,,2006,,0,66 1,38-Failure to Display Muni Rec,,,
7178746142,31775JV,NY,COM,01/08/2015,38,PICK,FORD,T,13810,27590,11610,,0007,7,7,361274,T101,E,0526P,,NY,F,264,Broome St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WHITE,,2006,,0,66 1,38-Failure to Display Muni Rec,,,
7045432290,49036MG,NY,COM,06/04/2015,17,DELV,ISUZU,T,12950,13113,30650,,0001,1,1,356526,T101,H,0912A,,NY,O,44,Beaver St,,01/05/0001 12:00:00 PM,408,c4,,YYYYY,0700A,0700P,WH,,2015,,0,04 1,17-No Stand (exc auth veh),,,
1374390008,DWG6250,NY,PAS,09/17/2014,46,SUBN,TOYOT,P,36190,26590,11710,,0026,26,26,942819,0026,0000,0928A,,NY,O,431,W 121 STREET,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,GREY,0,2012,-,0,,,,,
7250378594,FCZ2277,NY,PAS,11/26/2014,21,4DSD,NISSA,T,35380,14030,14080,,0070,70,70,356958,T302,F,0936A,,K,O,975,E 13th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,1000A,BLACK,,2007,,0,02 3,21-No Parking (street clean),,,
7032967942,FWP0135,PA,PAS,02/03/2015,68,4DSD,VOLKS,T,12220,70720,14620,,0052,52,52,361051,T201,X,0623P,,BX,F,250,Bedford Park Blvd,,01/05/0001 12:00:00 PM,408,a1,,,,,BLACK,,0,,0,Y 21,68-Not Pkg. Comp. w Psted Sign,,,
7228729183,S927471,IL,PAS,10/04/2014,38,4DSD,BMW,T,35630,0,0,,0061,61,61,361329,T302,R,0954A,,K,I,N,E 18th St,10ft E/of Avenue U,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WHITE,,0,,0,34 3,38-Failure to Display Muni Rec,,,
7929484105,28678JP,NY,COM,05/18/2015,14,VAN,CHEVR,T,16310,25090,20390,,0007,7,7,361856,T101,E,0454P,,NY,F,101,Delancey St,,01/05/0001 12:00:00 PM,408,c,,YYYYY,0400P,0700P,WHITE,,2004,,0,61 1,14-No Standing,,,
8015882965,86045JV,NY,COM,05/05/2015,40,DELV,FRUEH,T,7740,9340,9440,,114,114,114,357761,T401,F,0239P,,Q,F,40-18,29th St,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BROWN,,2006,,0,28 4,40-Fire Hydrant,,,
1367457038,GJA7524,NY,PAS,07/03/2014,20,SDN,TOYOT,P,26730,34220,33620,,0042,42,42,951166,0042,0000,1104P,,BX,F,595,E 169 ST,,01/05/0001 12:00:00 PM,408,F2,,BBBBBBB,ALL,ALL,WHT,0,2013,-,0,,,,,
7066993561,GGN7707,NY,PAS,03/09/2015,37,SUBN,BMW,T,24140,18040,51090,,103,103,103,361840,T402,G,1240P,1233P,Q,F,89-09,162nd St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BK,,2013,408-1953,0,11 4,37-Expired Muni Meter,,,
7395936176,44122MG,NY,COM,05/14/2015,19,FLAT,HINO,T,39595,61390,54790,,109,109,109,356513,T401,D,0907A,,Q,F,42-02,College Point Blvd,,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,WHITE,,2006,,0,01 4,19-No Stand (bus stop),,,
8005164737,FSV2130,NY,PAS,12/19/2014,74,SUBN,JEEP,T,34250,10810,13113,,0010,10,10,361802,T102,C,0348P,,NY,O,339,W 24th St,,01/05/0001 12:00:00 PM,408,j2,,,,,GREEN,,1999,,0,99 6,74A-Improperly Displayed Plate,,,
1375720144,GMZ7120,NY,PAS,10/21/2014,46,SDN,DODGE,P,40720,27060,27090,,0048,48,40,916209,0040,0000,0115P,,BX,F,2115,HONEYWELL AVE,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,RED,0,2007,-,0,,,,,
8009517951,DRR2788,NY,PAS,09/03/2014,21,SUBN,LEXUS,T,35580,45730,14730,,0061,61,61,347615,T302,Q,1216P,,K,F,2277,E 17th St,,01/05/0001 12:00:00 PM,408,d1,,Y,1130A,0100P,GY,,2013,,0,N 32,21-No Parking (street clean),,,
7178750390,GXC7580,NY,PAS,02/05/2015,19,CONV,PONTI,T,20390,0,0,,0007,7,7,361274,T101,N,0631P,,NY,I,N,Essex St,2ft E/of Delancey St,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,BK,,2006,,0,01 1,19-No Stand (bus stop),,,
7220666718,VRZ83D,NJ,PAS,09/04/2014,40,4DSD,AUDI,T,15710,35710,35770,,0024,24,24,351997,T103,A,0639A,,NY,F,808,Columbus Ave,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BLACK,,0,,5,H 77,40-Fire Hydrant,,,
8035556915,GSD4985,NY,OMS,05/19/2015,21,SUBN,GMC,T,69230,83330,23230,,0090,90,90,354019,T301,M,1112A,,K,F,860,Park Ave,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,1230A,RD,,2015,,0,A 31,21-No Parking (street clean),,,
8040659814,B69CWR,NJ,PAS,05/27/2015,37,CONV,ME/BE,T,18490,27790,24890,,0019,19,19,354043,T103,G,1011A,1000A,NY,F,130,E 75th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,GREY,,0,119-3040,0,02 7,37-Expired Muni Meter,,,
7994270475,51903ME,NY,COM,10/09/2014,53,VAN,FORD,T,10010,18550,18570,,0019,19,19,346193,T103,B,0709A,,NY,O,1502,1st Ave,,01/05/0001 12:00:00 PM,408,f6,,,,,WH,,2013,,0,A 77,53-Safety Zone,,,
8027757400,T627275C,NY,OMT,06/06/2015,72,4DSD,LINCO,T,13810,0,0,,0007,7,7,344767,T101,F,0653P,,NY,I,N,Broome St,120ft E/of Essex St,01/05/0001 12:00:00 PM,408,j7,,,,,BK,,2007,,0,75 1,72A-Insp Stkr Counterfeit,,,
7839557028,89982MD,NY,COM,07/25/2014,35,VAN,CHEVR,T,34690,0,0,,0017,17,17,358204,T106,M,0104P,,NY,I,S,W 46th St,10ft E/of 6th Ave,01/05/0001 12:00:00 PM,408,h8,,YYYYY,0700A,0600P,GY,,1989,,0,99 6,35-Selling/Offer Merchandise,,,
7732347500,X74BVV,NJ,PAS,08/06/2014,21,SUBN,HONDA,T,20530,15180,24230,,0084,84,84,354019,T301,M,0950A,,K,O,217,Bond St,,01/05/0001 12:00:00 PM,408,d1,,Y,0930A,1100A,GREEN,,0,,0,A 31,21-No Parking (street clean),,,
7827965015,YARS971,OR,PAS,10/14/2014,69,DELV,INTER,T,34590,0,0,,0014,14,14,358877,T106,M,1237P,,NY,I,S,W 41st St,40ft E/of 7th Ave,01/05/0001 12:00:00 PM,408,h1,,Y,,,WHITE,,0,,0,75 6,69-Failure to Disp Muni Recpt,,,
7739123845,282YY0,CT,PAS,07/14/2014,21,SUBN,JEEP,T,0,0,0,,0094,94,94,358630,T301,C,1200P,,K,I,W,Newel St,130ft S/of Calyer St,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1130A,0100P,BLUE,,0,,0,17 3,21-No Parking (street clean),,,
8011612839,M2248B,TN,PAS,11/04/2014,38,4DSD,ACURA,T,14390,0,0,,112,112,112,361287,T401,P,0908A,,Q,I,N,68th Rd,20ft E/of Queens Blv,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BLACK,,0,,0,53-A,38-Failure to Display Muni Rec,,,
7345949588,FYX3648,NY,PAS,04/24/2015,38,SUBN,HONDA,T,40890,23690,23750,,106,106,106,358604,T402,D,0422P,,Q,F,156-08,Cross Bay Blvd,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WHITE,,2005,,0,27 4,38-Failure to Display Muni Rec,,,
7082184992,2MXA70,MA,PAS,04/18/2015,21,SUBN,TOYOT,T,0,0,0,,0070,70,70,330760,T802,A,0207A,,K,I,S,Parkside Ave,180ft W/of Parade Pl,01/05/0001 12:00:00 PM,408,d1,,Y Y Y,1200A,0300A,GREY,,0,,0,F 31,21-No Parking (street clean),,,
1371355230,35173ME,NY,COM,09/25/2014,45,VAN,KENWO,P,10210,17550,17570,,0013,13,13,952942,0013,0000,0155P,,NY,F,397,3 AVENUE,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
7081396860,XAKP77,NJ,PAS,07/18/2014,14,VAN,FORD,T,13610,24490,32595,,0026,26,26,350425,T103,M,0519P,,NY,F,3147,Broadway,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,WHITE,,0,,0,CC4,14-No Standing,,,
1375104378,GPL5218,NY,PAS,01/15/2015,21,SDN,FORD,S,74570,8820,47020,,0046,46,0,582848,BX05,0000,1155A,,BX,F,137,W 179TH ST,,01/05/0001 12:00:00 PM,408,D1,,YBBYBBB,1130A,0100P,RED,0,2002,-,0,,,,,
1375104378,GPL5218,NY,PAS,01/15/2015,21,SDN,FORD,S,74570,8820,47020,,0046,46,0,582848,BX05,0000,1155A,,BX,F,137,W 179TH ST,,01/05/0001 12:00:00 PM,408,D1,,YBBYBBB,1130A,0100P,RED,0,2002,-,0,,,,,
8033161127,WYD30B,NJ,PAS,04/18/2015,40,4DSD,NISSA,T,21730,30790,29290,,0001,1,1,357086,T105,C,0346P,,NY,O,116,Greene St,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BLACK,,0,,5,036,40-Fire Hydrant,,,
7701967916,GVT4113,NY,PAS,03/03/2015,38,SUBN,CHRYS,T,9230,64730,6380,,0066,66,66,361277,T302,C,1125A,,K,F,1269,53rd St,,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0900A,0700P,BLACK,,2015,,0,01 3,38-Failure to Display Muni Rec,,,
7776342816,AVH3962,NY,PAS,08/18/2014,21,4DSD,TOYOT,T,8780,5580,5680,,0072,72,72,331245,T302,L,0953A,,K,O,566,44th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0930A,1100A,GY,,2010,,0,J 32,21-No Parking (street clean),,,
