the_geom,L_LOW_HN,PHYSICALID,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,L_BLKFC_ID,R_BLKFC_ID,ST_LABEL,STATUS,BIKE_LANE,BOROCODE,ST_WIDTH,CREATED,MODIFIED,TRAFDIR,RW_TYPE,FRM_LVL_CO,TO_LVL_CO,SNOW_PRI,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,ST_NAME,BIKE_TRAFD,SHAPE_Leng
"MULTILINESTRING ((-73.89302801266658 40.6723144910765, -73.89293680708649 40.67232804552531, -73.89285521112042 40.672340171796954, -73.89254729911185 40.67238592985013, -73.89246068645181 40.67239880101152, -73.89212328174933 40.67244894019676))",2153,70669,2175,2154,2176,11207,11207,2022602185,2022611444,PITKIN AVE,2,2,3,50,06/16/2009 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,PITKIN AVE,PITKIN,TW,255.704060819
"MULTILINESTRING ((-73.9521197677625 40.69729733499779, -73.95206780106747 40.69707831544684, -73.95201499472522 40.69688688777055, -73.95190920811474 40.69674580754654))",,151483,,,,11206,11206,1922600380,1922600370,MARCY HOUSES PEDESTRIAN PATH,2,,3,18,08/22/2012 12:00:00 AM +0000,02/05/2016 12:00:00 AM +0000,NV,6,13,13,,,,,PATH,,,MARCY HOUSES PEDESTRIAN PATH,MARCY HOUSES PEDESTRIAN,,211.530541942
"MULTILINESTRING ((-73.83542931012362 40.68092410924105, -73.83446176733862 40.67894409850796))",107-001,93463,108-099,107-000,108-098,11417,11417,52261446,52260751,105 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,S,,,,ST,,,105 ST,105,,769.675208
"MULTILINESTRING ((-73.93619686434418 40.60105507045556, -73.93611189736026 40.60059409975158, -73.9358039975266 40.598923666381964))",2101,48348,2199,2100,2198,11229,11229,22262130,22261415,BRAGG ST,2,,3,34,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,S,,,,ST,,,BRAGG ST,BRAGG,,784.151504054
"MULTILINESTRING ((-73.8433543911407 40.8652112529296, -73.84168631278077 40.86517961133848))",1501,42052,1549,1500,1548,10469,10469,1522606711,1522611672,ALLERTON AVE,2,2,2,60,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,ALLERTON AVE,ALLERTON,TW,461.524047769
"MULTILINESTRING ((-73.9966427548502 40.595634135464, -73.99634201282112 40.59537962193965, -73.99607541909032 40.595154003897306))",2301,42533,2329,0,0,11214,11214,1822600695,1822610079,CROPSEY AVE,2,3,3,40,06/16/2009 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TF,1,13,13,C,,,,AVE,,,CROPSEY AVE,CROPSEY,TF,235.42096829
"MULTILINESTRING ((-73.72695636156034 40.69410695020632, -73.72702482770187 40.69351476193497, -73.72710202955645 40.69313226086881, -73.72723263664776 40.69274650091541, -73.72738230819992 40.69245760068407))",,99066,,,,11411,11411,72265217,72265745,CROSS ISLAND PKWY ET 25 B SB,2,,4,20,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,9,13,13,C,,,,,,,CIP SB EXIT 25 B,CIP SB EXIT 25 B,,615.855052534
"MULTILINESTRING ((-74.01829783860896 40.644454279603444, -74.01820297428205 40.644404487303795))",,37037,,,,11220,11220,0,0,56 ST,2,,3,40,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,1,13,13,C,,,,ST,,,56 ST,56,,31.9709598542
"MULTILINESTRING ((-73.85038129964073 40.745114689372365, -73.85037081223662 40.74508219152906, -73.85035977833923 40.74504979834878, -73.85034819771509 40.74501751602951, -73.85033607476095 40.744985348765, -73.85032340946356 40.7449533027535, -73.85031020489687 40.744921382689604, -73.85029646369163 40.74488959443995, -73.85028218649916 40.744857942528405, -73.85026737727216 40.74482643265583, -73.85025203710136 40.74479506984921, -73.85023616971988 40.744763859474055, -73.85021977709947 40.74473280655849, -73.85020286187417 40.74470191546144, -73.85018542777445 40.74467119272101, -73.85016747611382 40.74464064219184, -73.85014901062497 40.74461026940687, -73.85013003526235 40.74458007922929, -73.85011055133641 40.74455007685387, -73.85009056324246 40.744520266976814, -73.8500700736144 40.744490653957, -73.85004908728428 40.74446124416644, -73.85002760578647 40.74443204112491, -73.85000563329407 40.74440305036596, -73.8499831744241 40.74437427591597, -73.84996457648336 40.74434801503264, -73.84994547940384 40.7443219622339, -73.84992588736009 40.74429612238319, -73.84990580474343 40.744270501851986, -73.84988523528821 40.74424510533568, -73.84986418382745 40.74421993870371, -73.8498426547558 40.744195006819815, -73.84982065158464 40.744170315551735, -73.84979818025275 40.744145868760064, -73.84977524514983 40.74412167348636, -73.8497518508934 40.74409773342196, -73.8497280023182 40.74407405359867, -73.84970370403678 40.74405063988569, -73.84967896286737 40.74402749681484, -73.84965378210462 40.74400462857828, -73.84962816768264 40.74398204104691, -73.84960212553848 40.74395973875143, -73.84957566028947 40.74393772538315, -73.84954877874993 40.74391600714914, -73.84952148509777 40.74389458723763, -73.84949378592957 40.74387347068268, -73.84946568696016 40.74385266285237, -73.84943719391106 40.74383216609923, -73.84940831271504 40.74381198679674, -73.84937905019304 40.74379212813656, -73.84934941118205 40.7437725939778, -73.84931940382083 40.74375338918911, -73.84928903206526 40.743734517628475, -73.84925830449757 40.743715982824924, -73.84922722661395 40.74369778930857, -73.84919580457326 40.74367994077279, -73.84916404541656 40.743662440409516, -73.84913195574167 40.7436452925828, -73.84909954258958 40.74362850048461, -73.84906681233858 40.743612068143676, -73.84903377247127 40.74359599824994, -73.8490004295869 40.7435802944974, -73.84896678962392 40.74356496057915, -73.84893286182657 40.743549999355, -73.84889865213327 40.74353541451812, -73.84886416758788 40.74352120792023, -73.84882941566983 40.743507383591584, -73.84879440408145 40.74349394438999, -73.8487591394245 40.74348089283677))",7,177355,7,10,8,11355,11355,92262906,92267350,ZOO PATH,2,,4,24,11/29/2007 12:00:00 AM +0000,01/12/2017 12:00:00 AM +0000,NV,6,13,13,,,,,PATH,,,ZOO PATH,ZOO,,770.757525807
"MULTILINESTRING ((-74.03470524300107 40.63800139985099, -74.0347329017371 40.63795096257644, -74.03483558848865 40.63776302887637, -74.03484872205968 40.637740332157136, -74.03484892288793 40.63773999888209, -74.03487286562138 40.63770451093108))",,106928,,,,,,1922714786,1922714785,ALLEY,2,,3,8,11/29/2007 12:00:00 AM +0000,02/05/2016 12:00:00 AM +0000,TW,10,13,13,,,,,,,,ALLEY,ALLEY,,117.785755079
"MULTILINESTRING ((-73.8483989957266 40.88077166599357, -73.84874812758966 40.8814394484842))",3615,54462,3649,3618,3624,10469,10469,1522612466,1522600833,EASTCHESTER RD,2,,2,60,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,EASTCHESTR RD,EASTCHESTR,,261.755022701
"MULTILINESTRING ((-73.91185042986687 40.887258742337565, -73.91170282710499 40.88746082470818, -73.91161664716695 40.88755939778355, -73.91145211183859 40.88771726355983, -73.91138660011507 40.88778011995394, -73.91138404637798 40.887782084706295, -73.9111538664912 40.88795916471059, -73.91094864459473 40.888096546631836, -73.91094377549658 40.88809946982633, -73.91066374646383 40.88826721170848, -73.9103431351073 40.888443404222826, -73.90975236196545 40.88871663736159, -73.9097445850945 40.88872054845644, -73.90950963573034 40.8888387066601, -73.9093539050946 40.88892889393222, -73.90906071464391 40.889127337463194, -73.90895108623016 40.889196534601886))",,39974,,,,10463,10463,1522600318,1522607813,HENRY HUDSON PKWY,2,,2,24,06/16/2009 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,2,13,13,C,,,,,,,N Y 9 A,N Y 9 A,,1080.93690349
"MULTILINESTRING ((-73.77146570708204 40.61175066686982, -73.7708867603103 40.612299707877426))",14-025,99733,14-099,14-024,14-098,11691,11691,12262869,12262871,BEACON PL,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,PL,,,BEACON PL,BEACON,,256.61291178
"MULTILINESTRING ((-73.9210350736335 40.81165142603656, -73.92058708344143 40.81226350210869))",341,62180,391,354,374,10454,10454,1422604712,1422603138,WILLIS AVE,2,1,2,64,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,WILLIS AVE,WILLIS,TW,255.162909019
"MULTILINESTRING ((-73.98017128057526 40.60517880150862, -73.97912671896106 40.605068653994465))",283,47741,305,284,306,11223,11223,1822607186,1822608030,KINGS HWY,2,,3,42,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TW,1,13,13,C,,,,,,,KINGSHIGWY,KINGSHIGWY,,292.811989235
"MULTILINESTRING ((-74.09183905206882 40.59763254245943, -74.09186387951206 40.59715608243532, -74.09207604607082 40.596650125156486))",23,98286,99,40,98,10304,10304,1622605302,1622611642,ALBRIGHT ST,2,,5,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,H,,,,ST,,,ALBRIGHT ST,ALBRIGHT,,367.244367013
"MULTILINESTRING ((-73.92637970549279 40.66551489214158, -73.92454945864151 40.66386259188936))",1,72950,85,2,84,11212,11212,2022612223,2022604880,E 96 ST,2,,3,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,C,,E,,ST,,,E  96 ST,96,,787.528235999
"MULTILINESTRING ((-74.1236259835953 40.61736933746949, -74.123576373111 40.616679618231004))",419,34919,449,422,446,10314,10314,1622608219,1622609416,MANOR RD,2,,5,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,MANOR RD,MANOR,,251.659997717
"MULTILINESTRING ((-73.85595057883384 40.74526697592946, -73.85301192521125 40.74615466660704))",108-001,96460,110-099,108-000,110-098,11368,11368,92263357,92262916,49 AVE,2,,4,28,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,S,,,,AVE,,,49 AVE,49,,876.149650819
"MULTILINESTRING ((-73.79334303282509 40.733549749893626, -73.79340666898877 40.73265432404178))",0,31044,0,68-000,68-098,11365,11365,82269236,82267881,UTOPIA PKWY,2,,4,32,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,1,13,13,C,,,,PKWY,,,UTOPIA PKWY,UTOPIA,,326.708075412
"MULTILINESTRING ((-73.90786782033199 40.81383445810728, -73.90696621330811 40.81365190563529))",749,35893,775,746,774,10455,10455,1422602714,1422607877,E 150 ST,2,,2,30,11/29/2007 12:00:00 AM +0000,01/03/2019 12:00:00 AM +0000,FT,1,13,13,S,,E,,ST,,,E  150 ST,150,,258.282252012
"MULTILINESTRING ((-73.84175264541844 40.79152999421796, -73.8417948327836 40.79071952866361))",6-001,34113,6-099,6-000,6-098,11356,11356,112263801,112266154,126 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,06/14/2018 12:00:00 AM +0000,FT,1,13,13,S,,,,ST,,,126 ST,126,,295.511512448
"MULTILINESTRING ((-73.79556934619369 40.59705168875896, -73.79571099653154 40.59840670854095))",601,92035,699,600,698,11692,11692,12261976,12262190,BCH 66 ST,2,,4,42,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,B 66 ST,B 66,,495.233090459
"MULTILINESTRING ((-73.9055211884375 40.834846439903615, -73.90565452906498 40.83477773238435, -73.90573998786994 40.83464826618457, -73.90569758511582 40.834482262493424, -73.90582586440146 40.83422329497604))",,151290,,,,10456,10456,0,0,MORRIS I HOUSES PEDESTRIAN PATH,2,,2,0,08/21/2012 12:00:00 AM +0000,12/22/2015 12:00:00 AM +0000,NV,6,13,13,,,,,PATH,,,MORRIS I HOUSES PEDESTRIAN PATH,MORRIS I HOUSES PEDESTRIAN,,259.770626515
"MULTILINESTRING ((-73.85941988033252 40.72646483706038, -73.85901374360384 40.727108907301336))",95-001,33679,95-099,95-000,95-098,11374,11374,92264398,92265816,65 RD,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,RD,,,65 RD,65,,260.258662065
"MULTILINESTRING ((-73.76223669236407 40.76806461152947, -73.76175566381296 40.767013770949504))",38-001,18531,38-099,38-000,38-098,11361,11361,112266261,112267539,222 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,222 ST,222,,405.380014301
"MULTILINESTRING ((-73.91920697508935 40.80599770562919, -73.9190205479939 40.80570913656886, -73.91886468736581 40.8055854198414))",,151197,,,,10454,10454,0,0,MILL BROOK HOUSES PEDESTRIAN PTH,2,,2,0,08/20/2012 12:00:00 AM +0000,12/22/2015 12:00:00 AM +0000,NV,6,13,13,,,,,PTH,,,MILL BROOK HOUSES PEDESTRIAN PTH,MILL BROOK HOUSES PEDESTRIAN,,179.518464571
"MULTILINESTRING ((-73.8571567590571 40.83110226804164, -73.85513316363517 40.83138747908971))",2001,50660,2099,2000,2098,10472,10472,1422608097,1422604914,GLEASON AVE,2,,2,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,S,,,,AVE,,,GLEASON AVE,GLEASON,,569.558978014
"MULTILINESTRING ((-73.93501858675332 40.61860011001416, -73.93430992378163 40.61906900484808))",4101,48721,4199,4100,4198,11234,11234,22261062,22262069,AVE P,2,,3,44,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,P AVE,P,,260.555044977
"MULTILINESTRING ((-73.93634304623872 40.74033952574041, -73.93603783141337 40.740262930094445, -73.93573892811423 40.7401724969682, -73.93544793595548 40.7400687039194))",31-001,11696,31-025,31-000,31-026,11101,11101,102263511,102262964,HUNTERS POINT AVE,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,HUNTER'S POINT AVE,HUNTER'S POINT,,267.270763074
"MULTILINESTRING ((-73.88668537876362 40.75758572718269, -73.8862981599175 40.755460467040606))",32-001,71023,32-099,32-000,32-098,11370,11370,92264172,92266604,81 ST,2,2,4,30,11/29/2007 12:00:00 AM +0000,04/14/2020 12:00:00 AM +0000,TF,1,13,13,S,,,,ST,,,81 ST,81,TF,781.697628745
"MULTILINESTRING ((-73.90646886275114 40.80956257618929, -73.90625277684947 40.80971843885924))",0,75330,0,444,450,10455,10455,1422602306,1422607182,TIMPSON PL,2,,2,30,11/29/2007 12:00:00 AM +0000,01/09/2020 12:00:00 AM +0000,TW,1,13,13,S,,,,PL,,,TIMPSON PL,TIMPSON,,82.4795168
"MULTILINESTRING ((-73.88755962160597 40.73019705523814, -73.88745128856593 40.72988599469809, -73.88745122983644 40.72988582342839, -73.88745118235312 40.72988564329076, -73.8873609449584 40.72957082746774, -73.88736093336303 40.7295707823917, -73.88736092198788 40.72957073731589, -73.88728902570365 40.729252849834104, -73.88723573073811 40.72893296415889, -73.88720114129718 40.72861206966357))",54-001,32650,56-099,54-000,56-098,11373,11373,92262267,92261974,74 ST,2,,4,50,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,ST,,,74 ST,74,,587.095140835
"MULTILINESTRING ((-73.90250561439434 40.83735622518131, -73.90196742499428 40.837171329853284))",517,151330,529,518,528,10457,10457,1422604028,1422604621,E 171 ST,2,,2,52,06/16/2009 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,1,13,13,S,,E,,ST,,,E  171 ST,171,,163.44970796
"MULTILINESTRING ((-74.01006968341342 40.704545914131955, -74.00974639311217 40.70477524791872))",63,488,69,62,68,10004,10004,212260292,212260710,STONE ST,2,,1,14,11/29/2007 12:00:00 AM +0000,08/24/2017 12:00:00 AM +0000,FT,1,13,13,H,,,,ST,,,STONE ST,STONE,,122.538700052
"MULTILINESTRING ((-74.10072386258544 40.61523471209036, -74.10209434379627 40.614600490701925))",150,85847,186,143,199,10301,10301,1622600854,1622609833,VAN CORTLANDT AVE,2,,5,28,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,C,,,,AVE,,,VAN CORTLANDT AVE,VAN CORTLANDT,,445.15765865
"MULTILINESTRING ((-74.1029799948023 40.62458080591216, -74.10250095902893 40.624629609799555))",1,63095,23,12,24,10301,10301,1622602850,1622611884,SUNSET HILL DR,2,,5,30,11/29/2007 12:00:00 AM +0000,12/10/2019 12:00:00 AM +0000,TW,1,13,13,H,,,,DR,,,SUNSET HILL DR,SUNSET HILL,,134.161110044
"MULTILINESTRING ((-73.96458421906716 40.661316592008106, -73.96458751048577 40.66029033137913, -73.96471508222761 40.6601465820777))",,184097,,,,11226,11226,1922615603,1922615713,WELLHOUSE DR,2,1,3,24,11/29/2007 12:00:00 AM +0000,04/26/2018 12:00:00 AM +0000,TW,1,13,13,V,,,,DR,,,WELL HOUSE DR,WELL HOUSE,TW,437.107125259
"MULTILINESTRING ((-73.79743301418002 40.74831083877009, -73.79658233209574 40.7476804329566))",170-023,82753,170-045,170-022,170-044,11365,11365,82261177,82261432,LITHONIA AVE,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,S,,,,AVE,,,LITHONIA AVE,LITHONIA,,329.104589722
"MULTILINESTRING ((-74.0068377870997 40.707857835737876, -74.00653116871753 40.70822712625459))",17,79723,25,18,24,10038,10038,212260036,212260051,GOLD ST,2,3,1,14,11/29/2007 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,TF,1,13,13,H,,,,ST,,,GOLD ST,GOLD,TF,159.149458558
"MULTILINESTRING ((-73.8905840774742 40.56543942034602, -73.89057051146585 40.56540955495173))",,181749,,,,11697,11697,0,0,HARMONY RD,2,,4,0,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,V,,,,LN,,,HARMONY LN,HARMONY,,11.5150449212
"MULTILINESTRING ((-73.91830353372775 40.83462491657232, -73.91798344351362 40.83449892613647))",0,61071,0,144,178,10452,10452,1422600475,1422607024,E 167 ST,2,3,2,20,11/29/2007 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,FT,1,13,13,C,,E,,ST,,,E  167 ST,167,FT,99.7634430868
"MULTILINESTRING ((-73.88541181904755 40.82129845953062, -73.8858732803442 40.82242454520013))",941,50899,979,940,978,10474,10474,1422606129,1422604816,WHITTIER ST,2,,2,38,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TF,1,13,13,C,,,,ST,,,WHITTIER ST,WHITTIER,,429.694244286
"MULTILINESTRING ((-73.90489548958583 40.63808403333843, -73.90412992443548 40.63857796289536))",8901,72039,8999,8900,8998,11236,11236,2022604185,2022608522,AVE J,2,,3,44,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,AVE,,,,AVE J,J,,278.437463694
"MULTILINESTRING ((-73.93059322455552 40.71445148512408, -73.93000291689323 40.71438634486631))",0,89083,0,1148,1174,11237,11237,1922611764,1922602471,METROPOLITAN AVE,2,2,3,56,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,METROPOLITAN AVE,METROPOLITAN,TW,165.357541201
"MULTILINESTRING ((-73.8053036433487 40.71643981552887, -73.80524998286047 40.71643184495389, -73.80520869213788 40.716435143066654, -73.80499051768182 40.716473522607586, -73.80488877844482 40.716487200380094, -73.80483741750147 40.71649411026896))",,107585,,,,11432,11432,82270524,82270561,ALLEY,2,,4,8,11/29/2007 12:00:00 AM +0000,11/07/2015 12:00:00 AM +0000,TW,10,13,13,,,,,,,,ALLEY,ALLEY,,131.840318859
"MULTILINESTRING ((-73.92263934990525 40.84717687633181, -73.92231048299325 40.847379806480625))",,151836,,,,10452,10452,1522602451,1522604990,POPHAM AVE,2,,2,20,06/16/2009 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,H,,,,AVE,,,POPHAM AVE,POPHAM,,117.23926221
"MULTILINESTRING ((-73.93127380601044 40.746702458380675, -73.93133537504224 40.74640513887852))",42-001,26398,42-099,42-000,42-098,11101,11101,102265318,102267055,33 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,33 ST,33,,109.658195292
"MULTILINESTRING ((-73.81926962287858 40.60861458161438, -73.81939296525057 40.60779094988312))",0,73335,0,701,709,11693,11693,22263093,22260655,CROSS BAY BLVD,2,2,4,42,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,FT,1,13,13,C,,,,BLVD,,,CROSS BAY BLVD,CROSS BAY,FT,302.0184283
"MULTILINESTRING ((-73.92683338930158 40.84622675661442, -73.92718050654439 40.8463884753896))",,174034,,,,10453,10453,1322602469,1322604976,WASHINGTON BRG,2,4,2,32,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,3,17,17,C,,,,BRG,,,WASHINGTON BRG,WASHINGTON,TW,112.67138902
"MULTILINESTRING ((-73.88968095595996 40.86165820891958, -73.89027555570866 40.86110907284803))",,105679,,,,10458,10458,1522605931,1522603408,MILL RIVER RD,2,,2,12,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,NV,1,13,13,V,,,,RD,,,MILL RIVER RD,MILL RIVER,,258.997409526
"MULTILINESTRING ((-73.89747916736235 40.75114919750134, -73.89745865544597 40.75106339427365, -73.89739654523794 40.75080358138959, -73.89730930560381 40.75045856602123))",,155363,,,,11377,11377,92261000,92264207,BROOKLYN QUEENS EXPY,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,2,17,17,C,,,,,,,B Q E,B Q E,,255.986219559
"MULTILINESTRING ((-74.14934983504526 40.53431185410987, -74.14991646723557 40.53463853876629))",2,56796,34,1,35,10312,10312,1722603423,1722613084,THORNYCROFT AVE,2,,5,28,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,H,,,,AVE,,,THORNY CROFT AVE,THORNY CROFT,,197.417689387
"MULTILINESTRING ((-73.911958105731 40.75539567788175, -73.91149800959847 40.754556603036285))",49-001,21512,49-099,49-000,49-098,11103,11103,102265496,102268129,NEWTOWN RD,2,,4,56,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,NEWTOWN RD,NEWTOWN,,331.213839206
"MULTILINESTRING ((-73.89958604102141 40.67134095589905, -73.89926204792964 40.67007363809146))",199,75518,245,200,246,11207,11207,2022605149,2022610764,WILLIAMS AVE,2,,3,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,S,,,,AVE,,,WILLIAMS AVE,WILLIAMS,,470.386066443
"MULTILINESTRING ((-73.93418045766155 40.665835079969725, -73.93424142978614 40.66583857278443, -73.93621718121535 40.665951655052396, -73.93688014046838 40.66597867643277, -73.93694519330045 40.66598129656226))",,107861,,,,11213,11213,2022700737,2022700102,ALLEY,2,,3,10,11/29/2007 12:00:00 AM +0000,02/05/2016 12:00:00 AM +0000,TW,10,13,13,,,,,,,,ALLEY,ALLEY,,768.882644137
"MULTILINESTRING ((-73.79461552995217 40.684107758405204, -73.79375535484971 40.682360352184006))",115-001,82534,115-099,115-000,115-098,11436,11436,62262408,62263071,148 ST,2,,4,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,FT,1,13,13,S,,,,ST,,,148 ST,148,,679.863463318
"MULTILINESTRING ((-73.87838200293469 40.72899579564967, -73.87823099310195 40.72912389755641, -73.87806374300214 40.729240921280635, -73.8778824724593 40.729345166029304, -73.87768978102245 40.729435279541626))",83-001,31722,83-099,83-020,83-098,11379,11379,92263334,92290400,58 AVE,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,1,13,13,H,,,,AVE,,,58 AVE,58,,251.341444205
"MULTILINESTRING ((-73.9358447072544 40.65754938576859, -73.93583587493848 40.6575456067677, -73.93582679370054 40.65754218664012, -73.93581748838828 40.65753913578633, -73.93580798473121 40.657536462597115, -73.93579830977994 40.65753417412366, -73.93578849014567 40.65753227691439, -73.93577855288092 40.6575307760102, -73.93576852503847 40.65752967628452, -73.93575843543321 40.65752898009878, -73.9357483115606 40.657528689478674, -73.93573818179722 40.65752880511017, -73.93572807363978 40.657529327678716, -73.93571801656832 40.657530254185296, -73.93493394163866 40.6575774660382, -73.93407289321394 40.65763320522557, -73.93327503261851 40.65769707630173, -73.93205948585968 40.657774991234746, -73.93190743894837 40.65653765254298))",,180050,,,,11203,11203,2022609529,2022603262,KINGSBORO PSYCHIATRIC CTR DVWY,2,,3,24,12/29/2015 12:00:00 AM +0000,04/13/2017 12:00:00 AM +0000,TW,8,13,13,,,,,DVWY,,,KINGSBORO PSYCHIATRIC CTR DVWY,KINGSBORO PSYCHIATRIC CTR,,1508.3458885
"MULTILINESTRING ((-73.95282301471167 40.73891247884995, -73.95270993920698 40.73926022227887))",,187991,,,,11222,11222,0,0,PULASKI BRIDGE BIKE PATH,2,1,3,0,02/21/2020 12:00:00 AM +0000,,NV,3,13,13,V,,,,PATH,,,PULASKI BR BIKE PATH,PULASKI BR BIKE,TW,130.51150915
"MULTILINESTRING ((-73.9306150566943 40.81935324723638, -73.93062100761621 40.81942062610153, -73.93062697112883 40.81948799609443, -73.9306832661842 40.820312957883736))",,50684,,,,10451,10451,1322600458,1422605452,MAJOR DEEGAN EXPY,2,,2,34,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,FT,2,17,17,C,,,,,,,MAJOR DEEGAN EXPRESS,MAJOR DEEGAN EXPRESS,,350.171508186
"MULTILINESTRING ((-74.12829305237025 40.55980240410995, -74.12888487055751 40.55925685993627))",230,59086,248,231,259,10306,10306,1722603648,1722601702,PLATT ST,2,,5,32,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TW,1,13,13,S,,,,ST,,,PLATT ST,PLATT,,257.964912527
"MULTILINESTRING ((-73.95153193876695 40.74222717082159, -73.95140136647937 40.74220393534941))",11-001,7962,11-009,0,0,11101,11101,102268299,102268255,50 AVE,2,3,4,40,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,50 AVE,50,TW,37.1593828518
"MULTILINESTRING ((-73.86546044854106 40.83213164215125, -73.86579353986316 40.83413868498562))",1301,50539,1359,1300,1378,10472,10472,1422601408,1422607600,TAYLOR AVE,2,,2,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TF,1,13,13,S,,,,AVE,,,TAYLOR AVE,TAYLOR,,737.02647401
"MULTILINESTRING ((-73.84721210933358 40.72828866735227, -73.84687326556201 40.727620434672225))",67-027,13840,67-049,67-028,67-048,11375,11375,92268544,92266306,108 ST,2,,4,45,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TW,1,13,13,C,,,,ST,,,108 ST,108,,260.944221841
